paper_item,inputs,notebook_section,output_file,status,note
Table 1 (framework comparison),paper text (qualitative),2,results/tables/table1_framework_comparison.csv,exact,verbatim transcription; no computation involved
Theorem 1,paper Section 3.2.3 / Appendix A,2,results/tables/table_theorem_map.csv,exact,implemented and unit-tested against analytical/quadrature references
Theorem 2,paper Section 3.2.3 / Appendix A,2,results/tables/table_theorem_map.csv,exact,implemented and unit-tested against analytical/quadrature references
Theorem 3,paper Section 3.2.3 / Appendix A,2,results/tables/table_theorem_map.csv,exact,implemented and unit-tested against analytical/quadrature references
Theorem 4,paper Section 3.2.3 / Appendix A,2,results/tables/table_theorem_map.csv,exact,implemented and unit-tested against analytical/quadrature references
Theorem 5,paper Section 3.2.3 / Appendix A,2,results/tables/table_theorem_map.csv,exact,implemented and unit-tested against analytical/quadrature references
Theorem 6,paper Section 3.2.3 / Appendix A,2,results/tables/table_theorem_map.csv,exact,implemented and unit-tested against analytical/quadrature references
Fig. 1 (conceptual hierarchy),model graph,2,results/figures/fig01_*.png,exact,"redrawn from the model graph; encodes independent domains, dependent subdomains via shared (mu, nu), observed (C, N), OP-weighted aggregation, multiple LLMs"
Fig. 2 (detailed hierarchical structure),model graph,2,results/figures/fig02_*.png,exact,"redrawn from the model graph; encodes independent domains, dependent subdomains via shared (mu, nu), observed (C, N), OP-weighted aggregation, multiple LLMs"
Table 2 (coin flip),analytical Beta-Binomial conjugacy,4,results/tables/table2_coinflip.csv,inconsistent_source_artifact,"precise column reproduces exactly (0.36); the printed imprecise interval [0.31, 0.38] does not follow from the printed credal set, which gives [0.29, 0.43] (D9)"
Table 3 (published accuracies),"paper Table 3, verbatim",6,results/tables/table3_literal_reproduction.csv,exact,reproduced verbatim as its own dataset; NOT merged with the repository numerics (D1)
Fig. 3 (subdomain CDF envelopes),official_figure_numerics + HIP-LLM inference,7,results/figures/fig03_subdomain_cdf_envelopes.png,reconstructed_with_labelled_assumption,freshly computed; qualitative orderings match the paper's narrative exactly
Fig. 4 (domain CDF envelopes),official_figure_numerics + HIP-LLM inference,7,results/figures/fig04_*.png,reconstructed_with_labelled_assumption,freshly computed from the published measurements
Fig. 5 (LLM CDF envelopes),official_figure_numerics + HIP-LLM inference,7,results/figures/fig05_*.png,reconstructed_with_labelled_assumption,freshly computed from the published measurements
Fig. 6 (hyperparameter sensitivity),official_figure_numerics + HIP-LLM inference,8,results/figures/fig06_hyperparameter_sensitivity.png,reconstructed_with_labelled_assumption,"exact intervals from the paper; d controls width most (confirmed), but d also shifts location more than a or b, so the paper's a/b-location vs c/d-width split is only approximate (see D10)"
Fig. 7 (OP sensitivity),paper_table3 + HIP-LLM inference,9,results/figures/fig07_operational_profile_sensitivity.png,reconstructed_with_labelled_assumption,"reproduced from Table 3, which is the only source consistent with the published panel (D4)"
Fig. 8 (expected future reliability),official_figure_numerics + HIP-LLM inference,10,results/figures/fig08_expected_reliability.png,reconstructed_with_labelled_assumption,E[p^n] computed per configuration then enveloped; monotonicity verified automatically
Tables 4 and 5 (RQ5 baselines),paper Section 4.3.5 (underdetermined),11,results/tables/table45_*.csv,blocked_by_missing_source_information,"ground-truth theta and OP vectors, BB-Inf prior strength, HiBayES priors and seeds are all unstated; two printed Table 5 rows are additionally mathematically inconsistent (D3)"
RQ5,paper Section 4.3.5,11,results/tables/table_rq5_blocking_checklist.csv,blocked_by_missing_source_information,7 of 7 required inputs unresolved
Fig. 9 (Pass@1 vs Pass@3),Fig. 9 caption aggregate counts,12,results/figures/fig09_pass1_vs_pass3.png,reconstructed_with_labelled_assumption,"aggregate_reproduction: per-task binary outcomes are not published, so this is not a complete benchmark re-run; captioned values conflict with both accuracy sources (D2)"
Fig. 10a (memory growth),live same-session API run,13,n/a,not_attempted,requires Mode B; deliberately NOT synthesised from a formula
Fig. 10b-d (memory stress test),official_figure_numerics + injected theta_BoolQ,13,results/figures/fig10_memory_sensitivity.png,reconstructed_with_labelled_assumption,sensitivity injection reproduced; component A (real same-session run) not attempted in Mode A and deliberately not fabricated
Fig. 11 (scalability),measured on this machine,14,results/figures/fig11_scalability.png,faithful_contemporary_rerun,absolute timings are machine-specific; the reproducible claims are the scaling exponents and the stage breakdown
Table 6 (peak memory),measured on this machine (tracemalloc),14,results/tables/table6_peak_memory_measured.csv,faithful_contemporary_rerun,"paper values retained as reference only, never emitted as measurements"
RQ1 (effectiveness),see section,7,see section,reconstructed_with_labelled_assumption,Figs. 3-5 reproduced; model orderings and overlaps match the paper's narrative
RQ2 (hyperparameter sensitivity),see section,8,see section,reconstructed_with_labelled_assumption,"Fig. 6 reproduced with the paper's exact intervals; d dominates envelope WIDTH as the paper states, but d also shifts LOCATION more than a or b, so the paper's clean a/b-location vs c/d-width split is only approximate here (see D10)"
RQ3 (OP sensitivity),see section,9,see section,reconstructed_with_labelled_assumption,"Fig. 7 reproduced from Table 3 (D4); GPT-4o strongly OP-sensitive, Sonnet 4.5 not"
RQ4 (predictability),see section,10,see section,reconstructed_with_labelled_assumption,Fig. 8 reproduced; E[R(1)] range and the bell-shaped width peak both match
RQ6 (failure definitions),see section,12,see section,reconstructed_with_labelled_assumption,Fig. 9 reproduced from captioned aggregates only (aggregate_reproduction)
RQ7 (memory effects),see section,13,see section,reconstructed_with_labelled_assumption,stress test reproduced; the real same-session experiment needs Mode B
RQ8 (scalability),see section,14,see section,faithful_contemporary_rerun,measured on this machine; exponents and stage breakdown are the reproducible claims
